ts,cpu_used_pct,mem_used_mb,mem_used_pct,swap_si_so_kb,fds_allocated,tcp_estab,tcp_timewait,retrans_delta,cs_goroutines
2026-09-08T17:05:25+08:00,1,2222,14.2,0,2282,69,0,0,57
2026-09-08T17:05:37+08:00,1,2224,14.3,0,2219,68,1,0,57
2026-09-08T17:05:48+08:00,1,2226,14.3,0,2219,68,2,0,57
2026-09-08T17:05:59+08:00,100,2251,14.4,0,2623,208,91,0,115
2026-09-08T17:06:10+08:00,100,2312,14.8,0,3380,596,404,9,457
2026-09-08T17:06:21+08:00,3,2322,14.9,0,3726,933,566,12,757
2026-09-08T17:06:32+08:00,100,2330,14.9,0,4078,1281,707,10,1111
2026-09-08T17:06:43+08:00,46,2340,15.0,0,4417,1619,947,20,1457
2026-09-08T17:06:54+08:00,80,2351,15.1,0,4760,1965,1041,5,1809
2026-09-08T17:07:06+08:00,55,2361,15.1,0,5130,2333,905,4,2157
2026-09-08T17:07:17+08:00,56,2376,15.2,0,5431,2633,552,2,2457
2026-09-08T17:07:28+08:00,96,2409,15.4,0,5830,3029,523,2,2857
2026-09-08T17:07:39+08:00,36,2402,15.4,0,6164,3334,414,4,3157
2026-09-08T17:07:50+08:00,100,2414,15.5,0,6497,3690,160,8,3521
2026-09-08T17:08:01+08:00,19,2419,15.5,0,6837,4033,83,0,3857
2026-09-08T17:08:13+08:00,100,2428,15.6,0,7195,4389,298,10,4217
2026-09-08T17:08:24+08:00,19,2435,15.6,0,7538,4733,402,6,4557
2026-09-08T17:08:35+08:00,100,2441,15.6,0,7903,5097,393,2,4929
2026-09-08T17:08:46+08:00,40,2450,15.7,0,8236,5431,442,8,5257
2026-09-08T17:08:57+08:00,80,2460,15.8,0,8539,5733,442,0,5557
2026-09-08T17:09:08+08:00,51,2485,15.9,0,8924,6130,321,5,5957
2026-09-08T17:09:20+08:00,93,2486,15.9,0,9232,6433,210,4,6257
2026-09-08T17:09:31+08:00,66,2491,16.0,0,9628,6833,75,0,6657
2026-09-08T17:09:42+08:00,50,2670,17.1,0,9936,7140,93,2,6965
2026-09-08T17:09:53+08:00,100,2678,17.2,0,10292,7490,191,7,7331
2026-09-08T17:10:05+08:00,64,2681,17.2,0,10649,7849,254,3,7673
2026-09-08T17:10:16+08:00,99,2680,17.2,0,10994,8198,339,6,8023
2026-09-08T17:10:27+08:00,2,2691,17.2,0,11320,8523,442,7,8357
2026-09-08T17:10:38+08:00,100,2704,17.3,0,11681,8885,368,5,8713
2026-09-08T17:10:49+08:00,34,2738,17.5,0,12095,9234,283,1,9057
2026-09-08T17:11:00+08:00,88,2722,17.4,0,12334,9537,333,2,9383
2026-09-08T17:11:12+08:00,100,2737,17.5,0,12958,10153,243,0,9895
2026-09-08T17:11:23+08:00,100,2755,17.7,0,13564,10757,165,0,10485
2026-09-08T17:11:34+08:00,100,2760,17.7,0,14122,11314,76,1,11045
2026-09-08T17:11:46+08:00,100,2774,17.8,0,14714,11912,77,0,11647
2026-09-08T17:11:57+08:00,100,2790,17.9,0,15277,12471,15,0,12203
2026-09-08T17:12:08+08:00,100,2798,17.9,0,15734,12758,12,0,12658
2026-09-08T17:12:20+08:00,100,2805,18.0,0,16089,12935,50,5,13013
2026-09-08T17:12:31+08:00,100,2815,18.0,0,16517,13203,50,0,13440
2026-09-08T17:12:43+08:00,100,2818,18.1,0,16901,13398,50,2,13814
2026-09-08T17:12:54+08:00,100,2829,18.1,0,17308,13651,49,2,14230
2026-09-08T17:13:05+08:00,100,2837,18.2,0,17725,13885,49,0,14640
2026-09-08T17:13:16+08:00,100,2849,18.3,0,18112,14106,4,2,15047
2026-09-08T17:13:28+08:00,100,2860,18.3,0,18515,14319,4,0,15428
2026-09-08T17:13:39+08:00,100,2866,18.4,0,18938,14583,4,0,15867
2026-09-08T17:13:50+08:00,100,2872,18.4,0,19331,14795,5,1,16250
2026-09-08T17:14:02+08:00,100,2887,18.5,0,19742,15031,5,0,16658
2026-09-08T17:14:13+08:00,1,2778,17.8,0,2932,137,8380,1,9457
2026-09-08T17:14:24+08:00,1,2772,17.8,0,2931,137,8379,0,9457
2026-09-08T17:14:35+08:00,2,2765,17.7,0,2938,137,8379,0,9457
2026-09-08T17:14:46+08:00,1,2762,17.7,0,2937,137,8379,0,9457
2026-09-08T17:14:57+08:00,2,2762,17.7,0,2984,138,8379,0,9457
2026-09-08T17:15:08+08:00,1,2765,17.7,0,2937,137,8379,0,9457
2026-09-08T17:15:20+08:00,2,2766,17.7,0,2939,137,5,0,9457
2026-09-08T17:15:31+08:00,86,2925,18.7,0,17164,14400,5,1,23850
2026-09-08T17:15:42+08:00,99,3199,20.5,0,35138,32426,4,0,41565
2026-09-08T17:15:54+08:00,100,3464,22.2,0,51895,49163,3,0,58295
2026-09-08T17:16:06+08:00,94,3843,24.6,0,63416,60532,2,1,69459
2026-09-08T17:16:17+08:00,61,4006,25.7,0,63427,60533,1,9,69460
2026-09-08T17:16:29+08:00,72,4104,26.3,0,63498,60533,0,4,69460
2026-09-08T17:16:41+08:00,54,4313,27.6,0,63452,60532,1,5,69459
2026-09-08T17:16:53+08:00,65,4330,27.7,0,63428,60533,1,5,69460
2026-09-08T17:17:04+08:00,73,4338,27.8,0,63441,60533,1,12,69460
2026-09-08T17:17:16+08:00,61,4349,27.9,0,63458,60533,2,5,69460
2026-09-08T17:17:28+08:00,64,4391,28.1,0,63457,60532,3,5,69459
2026-09-08T17:17:40+08:00,63,4412,28.3,0,63108,60193,131,8,69459
2026-09-08T17:17:51+08:00,64,4404,28.2,0,63067,60148,131,7,69459
2026-09-08T17:18:03+08:00,65,4425,28.4,0,63046,60149,131,4,69460
2026-09-08T17:18:15+08:00,63,4473,28.7,0,63053,60149,130,10,69460
2026-09-08T17:18:26+08:00,71,4507,28.9,0,63069,60149,130,1,69467
2026-09-08T17:18:38+08:00,60,4467,28.6,0,63050,60149,1,10,69460
2026-09-08T17:18:50+08:00,78,4460,28.6,0,63066,60149,2,5,69460
2026-09-08T17:19:02+08:00,64,4462,28.6,0,63065,60148,3,4,69459
2026-09-08T17:19:13+08:00,66,4468,28.6,0,63045,60148,4,5,69458
2026-09-08T17:19:25+08:00,62,4465,28.6,0,63046,60148,5,4,69459
2026-09-08T17:19:37+08:00,62,4493,28.8,0,63127,60150,5,6,69459
2026-09-08T17:19:48+08:00,67,4490,28.8,0,63136,60150,4,5,69460
2026-09-08T17:20:00+08:00,66,4487,28.8,0,63090,60148,4,4,69459
2026-09-08T17:20:12+08:00,80,4609,29.5,0,63271,60150,5,2,69460
2026-09-08T17:20:23+08:00,67,4487,28.8,0,63125,60150,4,2,69460
2026-09-08T17:20:35+08:00,82,4537,29.1,0,63064,60149,4,4,69460
2026-09-08T17:20:47+08:00,66,4506,28.9,0,63066,60148,5,4,69459
2026-09-08T17:20:59+08:00,62,4504,28.9,0,63073,60148,5,7,69459
2026-09-08T17:21:11+08:00,60,4508,28.9,0,63054,60148,3,6,69459
2026-09-08T17:21:22+08:00,64,4498,28.8,0,63066,60148,2,2,69459
2026-09-08T17:21:34+08:00,75,4523,29.0,0,63124,60149,2,2,69459
2026-09-08T17:21:46+08:00,62,4494,28.8,0,63056,60149,0,4,69459
2026-09-08T17:21:58+08:00,64,4488,28.8,0,63077,60148,1,4,69459
2026-09-08T17:22:10+08:00,63,4491,28.8,0,63057,60148,1,4,69459
2026-09-08T17:22:21+08:00,62,4490,28.8,0,63059,60148,2,5,69459
2026-09-08T17:22:33+08:00,64,4490,28.8,0,63061,60148,2,2,69459
2026-09-08T17:22:45+08:00,59,4494,28.8,0,63069,60149,2,4,69460
2026-09-08T17:22:56+08:00,47,4498,28.8,0,63065,60149,2,6,69460
2026-09-08T17:23:08+08:00,64,4502,28.9,0,63056,60149,1,4,69460
2026-09-08T17:23:20+08:00,63,4525,29.0,0,63059,60148,1,4,69458
2026-09-08T17:23:32+08:00,65,4520,29.0,0,63108,60148,2,4,69459
2026-09-08T17:23:44+08:00,64,4529,29.0,0,63072,60148,2,2,69459
2026-09-08T17:23:55+08:00,78,4525,29.0,0,63048,60148,3,7,69459
2026-09-08T17:24:07+08:00,71,4532,29.0,0,63064,60148,3,2,69459
2026-09-08T17:24:19+08:00,66,4525,29.0,0,63059,60148,2,3,69459
2026-09-08T17:24:30+08:00,69,4527,29.0,0,63061,60148,1,6,69459
2026-09-08T17:24:42+08:00,47,4544,29.1,0,63068,60148,1,4,69459
2026-09-08T17:24:53+08:00,64,4547,29.1,0,63062,60148,0,4,69459
2026-09-08T17:25:05+08:00,74,4560,29.2,0,63066,60148,0,2,69459
2026-09-08T17:25:17+08:00,65,3770,24.2,0,3072,148,29833,0,38269
2026-09-08T17:25:28+08:00,32,3768,24.1,0,3072,148,29835,0,38216
2026-09-08T17:25:40+08:00,32,3761,24.1,0,3076,148,29836,0,38216
2026-09-08T17:25:51+08:00,29,3761,24.1,0,3069,147,29838,0,38215
2026-09-08T17:26:02+08:00,29,3763,24.1,0,3065,147,29839,0,38215
