ts,connected,sent,recv,send_failed,dropped,latency_p50_ms,latency_p95_ms,latency_p99_ms
2026-09-08T18:49:51+08:00,30000,10203,9960,0,0,240,390,430
2026-09-08T18:50:01+08:00,30000,20524,20297,0,0,240,380,420
2026-09-08T18:50:11+08:00,30000,30784,29925,0,0,250,390,450
2026-09-08T18:50:21+08:00,30000,40635,40319,0,0,250,420,1410
2026-09-08T18:50:31+08:00,30000,50842,50558,0,0,250,410,1350
2026-09-08T18:50:41+08:00,30000,61160,60574,0,0,250,410,1260
2026-09-08T18:50:51+08:00,30000,70740,70522,0,0,250,410,1200
2026-09-08T18:51:01+08:00,30000,80970,80762,0,0,250,410,1140
2026-09-08T18:51:11+08:00,30000,91128,90068,0,0,250,410,1110
2026-09-08T18:51:21+08:00,30000,100782,100533,0,0,250,420,1300
2026-09-08T18:51:31+08:00,30000,111013,110741,0,0,250,420,1260
2026-09-08T18:51:41+08:00,30000,120788,120291,0,0,250,420,1220
2026-09-08T18:51:51+08:00,30000,127138,126801,0,0,260,460,1260
2026-09-08T18:52:01+08:00,30000,136881,136572,0,0,260,450,1230
2026-09-08T18:52:11+08:00,30000,147161,146050,0,0,260,460,1210
2026-09-08T18:52:21+08:00,30000,157172,156878,0,0,260,520,1400
2026-09-08T18:52:31+08:00,30000,167381,167080,0,0,260,500,1380
2026-09-08T18:52:41+08:00,30000,177517,176459,0,0,260,480,1360
2026-09-08T18:52:51+08:00,30000,187315,187081,0,0,260,530,1500
2026-09-08T18:53:01+08:00,30000,197558,197332,0,0,260,510,1480
2026-09-08T18:53:11+08:00,30000,207774,206763,0,0,260,500,1460
2026-09-08T18:53:21+08:00,30000,217464,217250,0,0,260,520,1520
2026-09-08T18:53:31+08:00,30000,227206,226835,0,0,260,500,1500
2026-09-08T18:53:41+08:00,30000,237518,236585,0,0,260,500,1490
2026-09-08T18:53:51+08:00,30000,247163,247028,0,0,260,520,1500
2026-09-08T18:54:01+08:00,30000,256886,256579,0,0,260,500,1480
2026-09-08T18:54:11+08:00,30000,267175,266421,0,0,260,500,1470
2026-09-08T18:54:21+08:00,30000,277011,276695,0,0,260,510,1460
2026-09-08T18:54:31+08:00,30000,286391,286146,0,0,260,500,1450
2026-09-08T18:54:41+08:00,30000,296146,295122,0,0,260,500,1440
2026-09-08T18:54:51+08:00,30000,305776,305450,0,0,260,530,1540
2026-09-08T18:55:01+08:00,30000,315986,315661,0,0,260,510,1530
2026-09-08T18:55:11+08:00,30000,326186,325215,0,0,260,510,1520
2026-09-08T18:55:21+08:00,30000,335871,335668,0,0,260,520,1520
2026-09-08T18:55:31+08:00,30000,345818,345533,0,0,260,510,1510
2026-09-08T18:55:41+08:00,30000,356048,355344,0,0,260,510,1500
2026-09-08T18:55:51+08:00,30000,365451,365183,0,0,260,530,1510
2026-09-08T18:56:01+08:00,30000,375658,375265,0,0,260,520,1500
2026-09-08T18:56:11+08:00,30000,385908,384837,0,0,270,510,1490
2026-09-08T18:56:21+08:00,30000,395330,394950,0,0,270,530,1500
2026-09-08T18:56:31+08:00,30000,405032,404846,0,0,270,520,1500
2026-09-08T18:56:41+08:00,30000,415102,414055,0,0,270,520,1490
2026-09-08T18:56:51+08:00,30000,424781,424452,0,0,270,530,1500
2026-09-08T18:57:01+08:00,30000,434805,434537,0,0,270,520,1500
2026-09-08T18:57:11+08:00,30000,445072,444241,0,0,270,520,1490
2026-09-08T18:57:21+08:00,30000,454609,454329,0,0,270,520,1480
2026-09-08T18:57:31+08:00,30000,464782,464463,0,0,270,520,1480
2026-09-08T18:57:41+08:00,30000,474950,474173,0,0,270,520,1470
2026-09-08T18:57:51+08:00,30000,484661,484439,0,0,270,530,1480
2026-09-08T18:58:01+08:00,30000,494716,494383,0,0,270,520,1470
2026-09-08T18:58:11+08:00,30000,504911,504428,0,0,270,520,1460
2026-09-08T18:58:21+08:00,30000,514703,514333,0,0,270,520,1460
2026-09-08T18:58:31+08:00,30000,524906,524513,0,0,270,520,1450
2026-09-08T18:58:41+08:00,30000,535062,533990,0,0,270,510,1450
2026-09-08T18:58:51+08:00,30000,544712,544422,0,0,270,530,1490
2026-09-08T18:59:01+08:00,30000,554788,554366,0,0,270,520,1490
2026-09-08T18:59:11+08:00,30000,565053,564128,0,0,270,520,1480
2026-09-08T18:59:21+08:00,30000,574699,574387,0,0,270,530,1480
2026-09-08T18:59:31+08:00,30000,584800,584609,0,0,270,520,1470
2026-09-08T18:59:41+08:00,30000,595110,594081,0,0,270,520,1470
