ts,cpu_used_pct,mem_used_mb,mem_used_pct,swap_si_so_kb,fds_allocated,tcp_estab,tcp_timewait,retrans_delta,cs_goroutines
2026-09-08T19:15:41+08:00,39,3015,19.3,0,1995,83,8,0,71262
2026-09-08T19:15:52+08:00,99,3205,20.5,0,30204,28412,7,0,99453
2026-09-08T19:16:04+08:00,99,3640,23.3,0,59181,57458,5,0,128835
2026-09-08T19:16:16+08:00,56,4043,25.9,0,62332,60422,6,25,131282
2026-09-08T19:16:28+08:00,54,4180,26.8,0,62331,60422,5,15,131275
2026-09-08T19:16:40+08:00,52,4301,27.6,0,62331,60422,3,36,131277
2026-09-08T19:16:52+08:00,59,4380,28.1,0,62340,60422,3,80,131278
2026-09-08T19:17:04+08:00,53,4382,28.1,0,62340,60422,3,161,131278
2026-09-08T19:17:16+08:00,58,4420,28.3,0,62342,60423,4,202,131277
2026-09-08T19:17:28+08:00,79,4426,28.4,0,62341,60423,5,129,131277
2026-09-08T19:17:39+08:00,59,4443,28.5,0,62086,60167,134,156,131279
2026-09-08T19:17:52+08:00,66,4445,28.5,0,62101,60166,135,92,131275
2026-09-08T19:18:04+08:00,54,4434,28.4,0,62101,60167,136,211,131280
2026-09-08T19:18:16+08:00,55,4405,28.2,0,62084,60167,135,106,131277
2026-09-08T19:18:27+08:00,52,4390,28.1,0,62084,60167,133,110,131278
2026-09-08T19:18:39+08:00,53,4404,28.2,0,62085,60167,7,101,131279
2026-09-08T19:18:51+08:00,48,4413,28.3,0,62087,60167,7,73,131277
2026-09-08T19:19:03+08:00,59,4409,28.3,0,62088,60168,8,144,131278
2026-09-08T19:19:14+08:00,38,4435,28.4,0,62091,60168,7,200,131277
2026-09-08T19:19:27+08:00,47,4459,28.6,0,62089,60168,6,82,131278
2026-09-08T19:19:38+08:00,52,4471,28.7,0,62090,60168,4,73,131278
2026-09-08T19:19:50+08:00,46,4455,28.6,0,62090,60167,5,185,131281
2026-09-08T19:20:02+08:00,58,4459,28.6,0,62088,60167,5,228,131280
2026-09-08T19:20:14+08:00,43,4461,28.6,0,62088,60168,6,83,131278
2026-09-08T19:20:26+08:00,54,4459,28.6,0,62089,60168,8,88,131279
2026-09-08T19:20:37+08:00,50,4458,28.6,0,62087,60167,9,49,131277
2026-09-08T19:20:49+08:00,55,4430,28.4,0,62088,60168,8,163,131278
2026-09-08T19:21:01+08:00,84,4454,28.5,0,62089,60169,8,147,131279
2026-09-08T19:21:13+08:00,44,4469,28.6,0,62088,60168,10,75,131278
2026-09-08T19:21:25+08:00,41,4457,28.6,0,62091,60169,11,69,131281
2026-09-08T19:21:36+08:00,76,4484,28.7,0,62089,60169,11,86,131280
2026-09-08T19:21:48+08:00,53,4478,28.7,0,62085,60168,13,203,131279
2026-09-08T19:22:00+08:00,67,4485,28.7,0,62085,60168,12,133,131281
2026-09-08T19:22:12+08:00,53,4488,28.8,0,62086,60167,10,66,131277
2026-09-08T19:22:24+08:00,58,4488,28.8,0,62085,60167,9,75,131279
2026-09-08T19:22:36+08:00,62,4513,28.9,0,62088,60168,9,92,131278
2026-09-08T19:22:47+08:00,41,4522,29.0,0,62083,60166,7,229,131277
2026-09-08T19:22:59+08:00,62,4515,28.9,0,62089,60168,7,132,131280
2026-09-08T19:23:11+08:00,63,4517,28.9,0,62087,60168,7,76,131279
2026-09-08T19:23:23+08:00,56,4517,28.9,0,62086,60168,7,68,131278
2026-09-08T19:23:35+08:00,56,4515,28.9,0,62086,60166,9,98,131283
2026-09-08T19:23:46+08:00,53,4524,29.0,0,62085,60166,9,209,131278
2026-09-08T19:23:58+08:00,50,4499,28.8,0,62087,60167,9,144,131278
2026-09-08T19:24:10+08:00,44,4522,29.0,0,62087,60168,9,58,131279
2026-09-08T19:24:22+08:00,49,4543,29.1,0,62086,60168,6,48,131278
2026-09-08T19:24:34+08:00,45,4501,28.8,0,62085,60167,6,193,131277
2026-09-08T19:24:45+08:00,49,4480,28.7,0,62085,60167,6,267,131280
2026-09-08T19:24:57+08:00,61,4475,28.7,0,62086,60167,5,129,131279
2026-09-08T19:25:09+08:00,54,4468,28.6,0,62085,60166,6,64,131277
2026-09-08T19:25:21+08:00,54,4474,28.7,0,62086,60167,8,84,131278
2026-09-08T19:25:32+08:00,55,4473,28.7,0,62087,60167,9,75,131278
2026-09-08T19:25:44+08:00,43,4510,28.9,0,62084,60166,10,123,131276
2026-09-08T19:25:56+08:00,45,4501,28.8,0,62088,60168,9,202,131279
2026-09-08T19:26:08+08:00,69,3803,24.3,0,35989,19857,15810,151,121224
2026-09-08T19:26:20+08:00,45,3690,23.6,0,2083,168,29748,61,93208
