ts,cpu_used_pct,mem_used_mb,mem_used_pct,swap_si_so_kb,fds_allocated,tcp_estab,tcp_timewait,retrans_delta,cs_goroutines
2026-09-08T22:26:53+08:00,1,1930,12.4,0,1900,65,0,0,43
2026-09-08T22:27:04+08:00,55,2222,14.2,0,22642,20857,1,0,20835
2026-09-08T22:27:15+08:00,63,2553,16.4,0,44402,42634,2,0,42704
2026-09-08T22:27:27+08:00,2,2813,18.0,0,62055,60214,2,0,60043
2026-09-08T22:27:38+08:00,2,2827,18.1,0,62054,60214,3,0,60043
2026-09-08T22:27:49+08:00,2,2866,18.4,0,62055,60214,4,0,60043
2026-09-08T22:28:01+08:00,1,3023,19.4,0,62054,60214,4,0,60043
2026-09-08T22:28:12+08:00,1,3021,19.4,0,62055,60214,4,0,60043
2026-09-08T22:28:24+08:00,1,3024,19.4,0,62054,60214,5,0,60043
2026-09-08T22:28:35+08:00,2,3026,19.4,0,62055,60214,5,0,60043
2026-09-08T22:28:47+08:00,1,3042,19.5,0,62055,60214,5,0,60043
2026-09-08T22:28:58+08:00,1,3084,19.8,0,61928,60088,67,0,60043
2026-09-08T22:29:09+08:00,2,3084,19.8,0,61929,60088,67,0,60043
2026-09-08T22:29:21+08:00,1,3078,19.7,0,61929,60088,67,0,60043
2026-09-08T22:29:32+08:00,0,3087,19.8,0,61929,60088,67,0,60043
2026-09-08T22:29:44+08:00,1,3092,19.8,0,61928,60088,67,0,60043
2026-09-08T22:29:55+08:00,54,3114,20.0,0,61929,60088,28,0,60043
2026-09-08T22:30:07+08:00,1,3125,20.0,0,61929,60088,4,1,60043
2026-09-08T22:30:18+08:00,1,3114,20.0,0,61928,60088,4,0,60043
2026-09-08T22:30:29+08:00,2,3115,20.0,0,61929,60088,5,0,60043
2026-09-08T22:30:41+08:00,1,3130,20.1,0,61928,60088,5,0,60043
2026-09-08T22:30:52+08:00,1,3123,20.0,0,61929,60088,5,0,60043
2026-09-08T22:31:04+08:00,1,3123,20.0,0,61928,60088,6,0,60043
2026-09-08T22:31:15+08:00,2,3116,20.0,0,61928,60088,6,0,60043
2026-09-08T22:31:27+08:00,26,2596,16.6,0,1923,88,30005,0,48914
2026-09-08T22:31:38+08:00,1,2591,16.6,0,1922,88,30004,0,30043
2026-09-08T22:31:49+08:00,2,2586,16.6,0,1923,88,30004,0,30043
2026-09-08T22:32:00+08:00,2,2595,16.6,0,1922,88,30004,0,30043
2026-09-08T22:32:11+08:00,1,2589,16.6,0,1923,88,30004,0,30043
2026-09-08T22:32:22+08:00,1,2453,15.7,0,1922,88,30003,0,30043
2026-09-08T22:32:34+08:00,62,2473,15.9,0,9116,7304,4,0,37307
2026-09-08T22:32:45+08:00,64,2775,17.8,0,33917,32154,3,0,62184
2026-09-08T22:32:56+08:00,64,3172,20.3,0,58797,57065,2,0,87259
2026-09-08T22:33:08+08:00,36,3475,22.3,0,62260,60347,2,73,90097
2026-09-08T22:33:20+08:00,37,3618,23.2,0,62260,60348,3,106,90098
2026-09-08T22:33:32+08:00,32,3774,24.2,0,62264,60348,2,101,90104
2026-09-08T22:33:43+08:00,42,3832,24.6,0,62267,60351,3,30,90106
2026-09-08T22:33:55+08:00,48,3860,24.7,0,62266,60350,5,36,90106
2026-09-08T22:34:06+08:00,45,3865,24.8,0,62267,60350,5,58,90104
2026-09-08T22:34:18+08:00,46,3867,24.8,0,62228,60312,23,50,90104
2026-09-08T22:34:30+08:00,48,3899,25.0,0,62119,60201,80,51,90106
2026-09-08T22:34:41+08:00,46,3909,25.1,0,62117,60201,79,34,90105
2026-09-08T22:34:53+08:00,49,3898,25.0,0,62121,60203,78,54,90108
2026-09-08T22:35:05+08:00,47,3905,25.0,0,62122,60204,78,31,90102
2026-09-08T22:35:16+08:00,45,3933,25.2,0,62120,60203,75,24,90103
2026-09-08T22:35:28+08:00,42,3940,25.2,0,62117,60200,23,55,90099
2026-09-08T22:35:40+08:00,51,3942,25.3,0,62116,60200,7,32,90100
2026-09-08T22:35:52+08:00,50,3946,25.3,0,62118,60201,7,53,90101
2026-09-08T22:36:03+08:00,48,3919,25.1,0,62117,60201,6,32,90106
2026-09-08T22:36:15+08:00,46,3941,25.3,0,62118,60201,6,45,90107
