ts,connected,sent,recv,send_failed,dropped,latency_p50_ms,latency_p95_ms,latency_p99_ms
2026-09-08T22:33:09+08:00,30000,11670,11096,0,0,460,790,940
2026-09-08T22:33:19+08:00,30000,23324,22849,0,0,440,730,880
2026-09-08T22:33:29+08:00,30000,34988,34354,0,0,420,710,860
2026-09-08T22:33:39+08:00,30000,46277,45956,0,0,400,700,850
2026-09-08T22:33:49+08:00,30000,57908,57478,0,0,390,670,820
2026-09-08T22:33:59+08:00,30000,69580,68976,0,0,390,670,810
2026-09-08T22:34:09+08:00,30000,80527,79854,0,0,390,680,840
2026-09-08T22:34:19+08:00,30000,92174,91899,0,0,390,660,830
2026-09-08T22:34:29+08:00,30000,103842,103339,0,0,380,650,810
2026-09-08T22:34:39+08:00,30000,115057,114603,0,0,380,640,810
2026-09-08T22:34:49+08:00,30000,126695,126149,0,0,370,640,800
2026-09-08T22:34:59+08:00,30000,138365,137711,0,0,380,650,820
2026-09-08T22:35:09+08:00,30000,149551,149068,0,0,380,660,850
2026-09-08T22:35:19+08:00,30000,161192,160613,0,0,370,650,840
2026-09-08T22:35:29+08:00,30000,172862,172231,0,0,370,650,830
2026-09-08T22:35:39+08:00,30000,183980,183486,0,0,370,640,850
2026-09-08T22:35:49+08:00,30000,195629,195066,0,0,370,650,860
2026-09-08T22:35:59+08:00,30000,207283,206507,0,0,370,650,860
2026-09-08T22:36:09+08:00,30000,218531,218010,0,0,370,650,870
2026-09-08T22:36:19+08:00,30000,230167,229782,0,0,370,650,860
2026-09-08T22:36:29+08:00,30000,241831,241143,0,0,370,640,860
2026-09-08T22:36:39+08:00,30000,253039,252614,0,0,370,650,870
2026-09-08T22:36:49+08:00,30000,264680,264067,0,0,370,650,860
2026-09-08T22:36:59+08:00,30000,276350,275661,0,0,370,640,860
2026-09-08T22:37:09+08:00,30000,287458,286881,0,0,370,640,860
2026-09-08T22:37:19+08:00,30000,299094,298604,0,0,370,640,850
2026-09-08T22:37:29+08:00,30000,310740,310146,0,0,370,640,860
2026-09-08T22:37:39+08:00,30000,322006,321126,0,0,370,670,880
2026-09-08T22:37:49+08:00,30000,333646,332301,0,0,380,730,970
2026-09-08T22:37:59+08:00,30000,345315,344431,0,0,380,750,1020
2026-09-08T22:38:09+08:00,30000,356303,355633,0,0,380,780,1060
2026-09-08T22:38:19+08:00,30000,367941,367068,0,0,390,800,1080
2026-09-08T22:38:29+08:00,30000,379605,378759,0,0,390,840,1120
2026-09-08T22:38:39+08:00,30000,390887,390126,0,0,400,850,1120
2026-09-08T22:38:49+08:00,30000,402531,400604,0,0,400,880,1240
2026-09-08T22:38:59+08:00,30000,414194,413278,0,0,400,910,1410
2026-09-08T22:39:09+08:00,30000,425312,424400,0,0,400,910,1410
2026-09-08T22:39:19+08:00,30000,436938,435591,0,0,410,910,1400
2026-09-08T22:39:29+08:00,30000,448604,447934,0,0,410,990,1570
2026-09-08T22:39:39+08:00,30000,459795,459088,0,0,410,990,1560
2026-09-08T22:39:49+08:00,30000,471427,470845,0,0,410,980,1550
2026-09-08T22:39:59+08:00,30000,483092,481326,0,0,410,990,1550
2026-09-08T22:40:09+08:00,30000,494404,493681,0,0,420,1020,1580
2026-09-08T22:40:19+08:00,30000,506064,505343,0,0,420,1020,1570
2026-09-08T22:40:29+08:00,30000,517729,516945,0,0,420,1010,1560
2026-09-08T22:40:39+08:00,30000,528936,528173,0,0,430,1040,1560
2026-09-08T22:40:49+08:00,30000,540572,539632,0,0,430,1040,1560
2026-09-08T22:40:59+08:00,30000,552177,551337,0,0,430,1040,1550
2026-09-08T22:41:09+08:00,30000,563343,561521,0,0,430,1060,1570
2026-09-08T22:41:19+08:00,30000,574965,574236,0,0,440,1090,1590
2026-09-08T22:41:29+08:00,30000,586632,585716,0,0,430,1080,1590
2026-09-08T22:41:39+08:00,30000,597695,596799,0,0,430,1080,1580
2026-09-08T22:41:49+08:00,30000,609341,607176,0,0,440,1090,1610
2026-09-08T22:41:59+08:00,30000,621009,615283,0,0,440,1190,2540
2026-09-08T22:42:09+08:00,30000,632289,631251,0,0,450,1420,4320
2026-09-08T22:42:19+08:00,30000,643927,643241,0,0,450,1400,4300
2026-09-08T22:42:29+08:00,30000,655591,653779,0,0,450,1390,4280
2026-09-08T22:42:39+08:00,30000,666737,665866,0,0,450,1530,4260
2026-09-08T22:42:49+08:00,30000,678362,676551,0,0,450,1510,4240
2026-09-08T22:42:59+08:00,30000,690009,688890,0,0,460,1510,4220
